gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId
22500325,2025-12-03 14:00:00,Denver,Nuggets,1610612743,Indiana,Pacers,1610612754,0,1,135,120,23,5,6,83,49,0.59,28,17,0.607,26,20,0.769,33,5,38,21,10,15,240,33,39,30,33,38,29,16,3,21,17,52,8,2,0,15,6,
22500326,2025-12-03 14:00:00,Orlando,Magic,1610612753,San Antonio,Spurs,1610612759,1,0,112,114,27,3,11,99,45,0.455,27,9,0.333,19,13,0.684,38,10,48,19,10,-2,240,29,20,30,33,32,1,7,2,21,23,64,11,7,0,13,9,
22500325,2025-12-03 14:00:00,Indiana,Pacers,1610612754,Denver,Nuggets,1610612743,1,0,120,135,24,5,6,81,42,0.519,28,13,0.464,29,23,0.793,30,8,38,24,12,-15,240,28,20,31,41,49,5,11,3,19,18,36,14,2,0,4,18,
22500324,2025-12-03 14:00:00,Portland,Trail Blazers,1610612757,Cleveland,Cavaliers,1610612739,0,1,122,110,27,4,4,85,37,0.435,34,14,0.412,39,34,0.872,42,12,54,21,11,12,240,36,32,31,23,46,18,10,3,17,8,42,10,1,1,9,13,
22500326,2025-12-03 14:00:00,San Antonio,Spurs,1610612759,Orlando,Magic,1610612753,0,1,114,112,20,5,5,91,42,0.462,38,13,0.342,24,17,0.708,39,13,52,20,19,2,240,31,27,28,28,38,15,9,2,9,13,42,7,7,0,15,6,
22500323,2025-12-02 18:00:00,Golden State,Warriors,1610612744,Oklahoma City,Thunder,1610612760,1,0,112,124,30,2,5,95,43,0.453,42,18,0.429,10,8,0.8,31,12,43,22,15,-12,240,26,18,44,24,68,4,8,10,9,20,42,10,2,0,11,11,
22500323,2025-12-02 18:00:00,Oklahoma City,Thunder,1610612760,Golden State,Warriors,1610612744,0,1,124,112,24,5,8,79,46,0.582,32,15,0.469,23,17,0.739,37,4,41,13,15,12,240,32,31,28,33,29,22,10,10,14,23,58,4,2,1,21,1,
22500320,2025-12-02 15:00:00,Boston,Celtics,1610612738,New York,Knicks,1610612752,1,1,123,117,18,3,6,87,49,0.563,40,13,0.325,14,12,0.857,27,11,38,20,10,6,240,21,37,36,29,33,18,12,1,15,25,56,16,1,0,12,9,
22500321,2025-12-02 15:00:00,New Orleans,Pelicans,1610612740,Minnesota,Timberwolves,1610612750,1,0,142,149,26,1,5,91,50,0.549,21,12,0.571,35,30,0.857,36,6,42,23,12,-7,265,25,43,35,26,39,15,15,14,18,10,70,8,14,1,3,19,
22500321,2025-12-02 15:00:00,Minnesota,Timberwolves,1610612750,New Orleans,Pelicans,1610612740,0,1,149,142,29,4,7,104,52,0.5,51,20,0.392,29,25,0.862,31,10,41,25,9,7,265,31,27,42,29,31,10,9,14,13,19,64,21,14,1,13,8,
22500320,2025-12-02 15:00:00,New York,Knicks,1610612752,Boston,Celtics,1610612738,0,0,117,123,29,2,5,85,43,0.506,44,19,0.432,17,12,0.706,23,10,33,15,10,-6,240,32,20,24,41,10,14,12,1,16,19,42,13,1,0,13,7,
22500322,2025-12-02 15:00:00,San Antonio,Spurs,1610612759,Memphis,Grizzlies,1610612763,1,1,126,119,28,7,7,92,42,0.457,39,18,0.462,31,24,0.774,29,11,40,22,6,7,240,36,27,34,29,43,7,9,23,17,9,42,17,12,0,14,6,
22500322,2025-12-02 15:00:00,Memphis,Grizzlies,1610612763,San Antonio,Spurs,1610612759,0,0,119,126,28,6,4,90,45,0.5,26,9,0.346,24,20,0.833,41,9,50,28,15,-7,240,32,27,39,21,52,7,10,23,18,6,58,11,12,0,9,13,
22500319,2025-12-02 14:30:00,Portland,Trail Blazers,1610612757,Toronto,Raptors,1610612761,0,0,118,121,23,7,7,83,41,0.494,40,15,0.375,32,21,0.656,30,9,39,21,15,-3,240,39,20,23,36,39,9,10,4,10,21,50,11,6,0,8,13,
22500319,2025-12-02 14:30:00,Toronto,Raptors,1610612761,Portland,Trail Blazers,1610612757,1,1,121,118,33,3,10,90,48,0.533,30,11,0.367,21,14,0.667,33,10,43,28,18,3,240,37,28,32,24,35,16,8,4,25,24,64,13,6,0,15,7,
22500318,2025-12-02 14:00:00,Philadelphia,76ers,1610612755,Washington,Wizards,1610612764,1,1,121,102,26,6,12,102,46,0.451,40,17,0.425,17,12,0.706,38,13,51,21,10,19,240,34,32,35,20,42,36,12,2,24,28,54,24,3,1,11,9,
22500318,2025-12-02 14:00:00,Washington,Wizards,1610612764,Philadelphia,76ers,1610612755,0,0,102,121,23,11,5,88,35,0.398,36,9,0.25,32,23,0.719,37,16,53,15,15,-19,240,31,23,23,25,53,6,9,2,14,9,44,11,3,0,3,17,
22500317,2025-12-01 17:00:00,Los Angeles,Lakers,1610612747,Phoenix,Suns,1610612756,1,0,108,125,18,0,1,80,41,0.513,33,13,0.394,15,13,0.867,34,5,39,13,21,-17,240,31,21,25,31,32,6,7,15,2,13,46,10,5,0,15,5,
22500317,2025-12-01 17:00:00,Phoenix,Suns,1610612756,Los Angeles,Lakers,1610612747,0,1,125,108,35,1,16,92,52,0.565,39,17,0.436,8,4,0.5,29,4,33,16,11,17,240,31,35,30,29,34,25,8,15,28,32,56,4,5,1,13,9,
22500315,2025-12-01 16:00:00,Dallas,Mavericks,1610612742,Denver,Nuggets,1610612743,0,1,131,121,35,4,4,95,53,0.558,31,16,0.516,14,9,0.643,36,7,43,19,8,10,240,27,42,33,29,29,12,14,11,18,13,54,6,9,0,7,15,
22500315,2025-12-01 16:00:00,Denver,Nuggets,1610612743,Dallas,Mavericks,1610612742,1,0,121,131,37,5,5,99,47,0.475,37,12,0.324,18,15,0.833,35,12,47,11,7,-10,240,41,27,36,17,29,17,12,11,11,13,60,12,9,0,14,6,
22500316,2025-12-01 16:00:00,Houston,Rockets,1610612745,Utah,Jazz,1610612762,0,0,125,133,27,8,6,93,41,0.441,34,10,0.294,41,33,0.805,30,16,46,26,13,-8,240,32,25,32,36,18,4,12,8,11,17,54,20,10,0,13,5,
22500316,2025-12-01 16:00:00,Utah,Jazz,1610612762,Houston,Rockets,1610612745,1,1,133,125,33,4,8,90,45,0.5,35,14,0.4,38,29,0.763,36,14,50,31,13,8,240,31,37,30,35,35,21,7,8,13,12,48,24,10,0,7,13,
22500314,2025-12-01 14:30:00,Chicago,Bulls,1610612741,Orlando,Magic,1610612753,0,0,120,125,30,4,9,88,44,0.5,37,16,0.432,22,16,0.727,33,10,43,23,20,-5,240,26,27,32,35,39,15,9,10,7,19,54,9,12,0,9,11,
22500313,2025-12-01 14:30:00,LA,Clippers,1610612746,Miami,Heat,1610612748,0,0,123,140,23,3,8,96,43,0.448,29,9,0.31,35,28,0.8,33,13,46,10,11,-17,240,24,32,26,41,38,2,12,2,22,25,66,19,2,0,5,16,
22500313,2025-12-01 14:30:00,Miami,Heat,1610612748,LA,Clippers,1610612746,1,1,140,123,34,10,7,100,53,0.53,46,24,0.522,12,10,0.833,39,11,50,25,11,17,240,35,41,38,26,23,38,20,2,25,18,46,16,2,1,14,7,
22500312,2025-12-01 14:30:00,Brooklyn,Nets,1610612751,Charlotte,Hornets,1610612766,1,1,116,103,33,3,10,96,43,0.448,43,17,0.395,17,13,0.765,30,13,43,23,11,13,240,26,33,29,28,36,16,9,13,22,27,46,16,11,1,4,16,
22500314,2025-12-01 14:30:00,Orlando,Magic,1610612753,Chicago,Bulls,1610612741,1,1,125,120,25,11,12,88,45,0.511,33,9,0.273,33,26,0.788,34,12,46,16,17,5,240,29,24,32,40,36,7,11,10,19,25,62,15,12,0,13,8,
22500312,2025-12-01 14:30:00,Charlotte,Hornets,1610612766,Brooklyn,Nets,1610612751,0,0,103,116,26,7,5,85,38,0.447,32,12,0.375,18,15,0.833,35,7,42,15,16,-13,240,27,32,23,21,53,11,8,13,13,13,48,16,11,1,6,15,
22500309,2025-12-01 14:00:00,Atlanta,Hawks,1610612737,Detroit,Pistons,1610612765,0,0,98,99,27,4,15,89,38,0.427,40,14,0.35,11,8,0.727,27,7,34,16,13,-1,240,27,22,19,30,9,5,8,27,13,20,42,8,14,0,13,9,
22500310,2025-12-01 14:00:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,0,1,135,119,27,8,7,98,50,0.51,40,14,0.35,29,21,0.724,29,19,48,28,8,16,240,37,29,33,36,30,21,10,1,16,17,62,28,1,0,13,9,
22500311,2025-12-01 14:00:00,Milwaukee,Bucks,1610612749,Washington,Wizards,1610612764,0,0,126,129,29,4,5,84,46,0.548,38,21,0.553,21,13,0.619,28,7,35,16,16,-3,240,34,32,28,32,34,16,9,4,14,18,34,10,7,0,9,13,
22500310,2025-12-01 14:00:00,Indiana,Pacers,1610612754,Cleveland,Cavaliers,1610612739,1,0,119,135,19,6,5,85,41,0.482,30,10,0.333,37,27,0.73,22,14,36,22,14,-16,240,25,29,36,29,39,2,6,1,14,13,58,25,1,0,4,17,
22500311,2025-12-01 14:00:00,Washington,Wizards,1610612764,Milwaukee,Bucks,1610612749,1,1,129,126,29,4,9,102,53,0.52,36,13,0.361,15,10,0.667,27,14,41,17,10,3,240,28,30,33,38,48,6,8,4,11,17,60,20,7,1,3,16,
22500309,2025-12-01 14:00:00,Detroit,Pistons,1610612765,Atlanta,Hawks,1610612737,1,1,99,98,18,9,11,86,38,0.442,26,5,0.192,24,18,0.75,42,18,60,12,22,1,240,25,25,24,25,37,7,11,27,21,17,58,19,14,0,17,4,
22500308,2025-11-30 16:30:00,New Orleans,Pelicans,1610612740,Los Angeles,Lakers,1610612747,0,0,121,133,23,1,6,91,46,0.505,26,13,0.5,20,16,0.8,32,8,40,27,8,-12,240,27,30,35,29,38,0,6,0,25,11,62,10,0,0,3,18,
22500308,2025-11-30 16:30:00,Los Angeles,Lakers,1610612747,New Orleans,Pelicans,1610612740,1,1,133,121,26,10,4,87,42,0.483,41,15,0.366,39,34,0.872,35,11,46,14,8,12,240,46,31,31,25,24,26,8,0,17,13,46,21,0,1,15,4,
22500307,2025-11-30 16:00:00,Sacramento,Kings,1610612758,Memphis,Grizzlies,1610612763,1,0,107,115,25,7,14,94,43,0.457,27,8,0.296,22,13,0.591,24,10,34,22,8,-8,240,35,24,28,20,46,5,10,13,18,25,58,10,8,0,5,16,
22500307,2025-11-30 16:00:00,Memphis,Grizzlies,1610612763,Sacramento,Kings,1610612758,0,1,115,107,28,7,4,86,45,0.523,24,9,0.375,22,16,0.727,39,13,52,22,23,8,240,31,31,21,32,43,13,12,13,5,7,62,22,8,1,9,12,
